Quantity,Digi-Key Part Number,Customer Reference
2,P5193-ND,"C1, C3"
1,BC2665CT-ND,C2
1,CP-202A-ND,CON1
1,732-5010-ND,D1
1,732-5008-ND,D2
1,S1012EC-02-ND,JP1
1,S9337-ND,JP1
4,455-2270-ND,"P1, P2, P3, P4"
3,S1012EC-04-ND,"P6, P7, P8"
4,S1112EC-03-ND,"P100, P100, P100, P100"
1,CF14JT2K20CT-ND,R1
5,CF14JT47K0CT-ND,"R3, R4, R5, R6, R10"
1,CF14JT220RCT-ND,R7
1,CF14JT470RCT-ND,R9
1,S1012EC-03-ND,U1
1,S1012EC-02-ND,U1
1,S7106-ND,U1
2,576-1309-ND,"U2, U4"
1,296-8251-5-ND,U3
1,1528-1104-ND,"U5, U6, U7, U8"
4,AH3391Q-P-BDI-ND,"U100, U100, U100, U100"
4,469-1027-ND,"U100, U100, U100, U100"
